     0/299     1.87G    0.1316    0.1132   0.06683    0.3116       105       640   0.00758      0.04  0.001884 0.0003226    0.1311    0.3625    0.0658
     1/299     2.96G    0.1264    0.1309    0.0655    0.3228        81       640  0.007907    0.1162  0.003321  0.000598    0.1264    0.4224   0.06478
     2/299     2.96G      0.12    0.1624   0.06313    0.3455       108       640   0.01039   0.06199   0.00586  0.001615    0.1188    0.5017   0.06244
     3/299     2.96G    0.1131    0.1623   0.06037    0.3358        93       640   0.02542   0.04096   0.01218  0.002383     0.112    0.5292   0.06059
     4/299     2.96G    0.1071    0.1618   0.05996    0.3289        28       640   0.02805     0.145   0.02131  0.003708    0.1052    0.4829   0.05947
     5/299     2.96G    0.1023    0.1446   0.05744    0.3043        91       640   0.03377    0.1325   0.02999  0.005837   0.09791    0.4302   0.05875
     6/299     2.96G   0.09322    0.1401   0.05636    0.2896        92       640    0.8344   0.05815   0.04182  0.009485   0.08814    0.4688   0.05865
     7/299     2.96G    0.0842    0.1396   0.05384    0.2777        91       640   0.03044    0.4333   0.06263   0.01555   0.07748    0.4972   0.05809
     8/299     2.96G   0.07768    0.1297   0.05349    0.2609       113       640   0.03289    0.5048   0.07777   0.02142   0.07449    0.4575   0.05776
     9/299     2.96G   0.07303    0.1311   0.05344    0.2576        76       640   0.03351    0.4159   0.06191   0.01273   0.07173    0.4854   0.05698
    10/299     2.96G   0.06935    0.1205   0.05323    0.2431        84       640   0.04183    0.4513   0.08719   0.02803   0.07011    0.4044   0.05601
    11/299     2.96G   0.06464    0.1221   0.05149    0.2382        88       640   0.03668    0.3908   0.07981   0.02596   0.06424    0.4049   0.05578
    12/299     2.96G   0.06428    0.1193   0.04979    0.2334        84       640   0.05084    0.4279    0.1083   0.03999   0.05627    0.3875   0.05501
    13/299     2.96G   0.06381    0.1228   0.05111    0.2377        85       640    0.1636    0.3251    0.1098    0.0384   0.06004    0.3864   0.05399
    14/299     2.96G   0.06297    0.1118   0.05012    0.2249        87       640   0.07189    0.3619     0.121   0.04346   0.06546    0.3857    0.0532
    15/299     2.96G    0.0764    0.1194   0.05007    0.2459       121       640   0.04305    0.4728   0.06403   0.02714   0.08832    0.3491   0.05256
    16/299     2.96G   0.08132    0.1152   0.04731    0.2439        67       640   0.07567    0.4443    0.1312   0.05232   0.06762    0.3725   0.05164
    17/299     2.96G   0.07604    0.1251   0.04829    0.2495       111       640    0.3451    0.2141   0.09445   0.04076   0.08084    0.3833   0.05046
    18/299     2.96G   0.07377    0.1138    0.0465    0.2341        88       640    0.1697    0.4612    0.1322   0.04302   0.06972    0.3709   0.04966
    19/299     2.96G   0.07359    0.1175   0.04655    0.2376       120       640   0.07541    0.2951    0.1432   0.04538   0.06524    0.3847   0.04846
    20/299     2.96G   0.06885    0.1196   0.04505    0.2335       138       640    0.2249    0.2511    0.1838   0.07765   0.05096    0.3831    0.0479
    21/299     2.96G   0.06727     0.118    0.0445    0.2297       109       640    0.2186    0.3513    0.1813   0.06307   0.05886    0.3915   0.04715
    22/299     2.96G   0.06579     0.119   0.04431    0.2291        88       640    0.1148     0.412    0.1816   0.06242   0.05707    0.3801   0.04647
    23/299     2.96G   0.06573    0.1122   0.04355    0.2215        96       640    0.2745    0.2282    0.1566   0.04694   0.06713    0.3815   0.04559
    24/299     2.96G    0.0668    0.1216   0.04344    0.2319        98       640    0.2201    0.5078    0.1638   0.07162   0.05666    0.3749   0.04492
    25/299     2.96G   0.06571    0.1131   0.04122      0.22        75       640   0.08845    0.5032    0.1779   0.04359   0.05783    0.4069   0.04399
    26/299     2.96G   0.06487    0.1239   0.04192    0.2307       116       640    0.2172    0.5191    0.2273   0.08745    0.0585    0.3739   0.04351
    27/299     2.96G    0.0658    0.1149    0.0424    0.2231       112       640    0.4177    0.3747    0.2019   0.08019   0.05468    0.3765   0.04282
    28/299     2.96G   0.06249    0.1187   0.03991    0.2211       109       640    0.4677    0.2977    0.2559    0.1187   0.05266    0.3722   0.04231
    29/299     2.96G   0.06487     0.115   0.03927    0.2191       116       640    0.4238    0.2356    0.2258    0.1033   0.05558    0.3721   0.04202
    30/299     2.96G   0.06016    0.1153   0.03876    0.2142        95       640    0.4812    0.2983    0.2811    0.1535   0.04896    0.3616   0.04143
    31/299     2.96G   0.06153    0.1147   0.03904    0.2153        98       640    0.4519    0.2989    0.2598    0.1224   0.06195    0.3724   0.04091
    32/299     2.96G   0.06299    0.1141   0.03873    0.2158        95       640    0.3567    0.3793    0.2554   0.06798   0.06513    0.3801   0.04053
    33/299     2.96G   0.06224    0.1032   0.03896    0.2044        61       640    0.4599    0.3978    0.2548    0.1054   0.05816    0.3736   0.04027
    34/299     2.96G   0.05851    0.1146   0.03738    0.2105       102       640    0.5862    0.4433    0.2927    0.1587   0.04447    0.3595   0.03992
    35/299     2.96G   0.05743    0.1156    0.0374    0.2104       130       640    0.6004    0.3721    0.3022    0.1372   0.04731    0.3665   0.03973
    36/299     2.96G   0.05985    0.1087   0.03564    0.2042       107       640    0.4665    0.4368    0.3304    0.2006   0.04816    0.3548   0.03934
    37/299     2.96G   0.05709    0.1149   0.03703     0.209        85       640    0.5361    0.3436    0.1982   0.06189   0.05757    0.4008    0.0391
    38/299     2.96G   0.05714    0.1134   0.03595    0.2065        92       640    0.5831    0.4112    0.3342    0.1722   0.04471    0.3574   0.03898
    39/299     2.96G   0.05592    0.1068   0.03633    0.1991       108       640    0.5593    0.4298     0.294   0.08659   0.05793    0.3798   0.03893
    40/299     2.96G   0.05642    0.1126   0.03658    0.2056        83       640    0.5647    0.3798     0.301    0.1338   0.04823    0.3572    0.0385
    41/299     2.96G   0.05487    0.1165   0.03712    0.2085       129       640    0.6284    0.3755     0.364    0.1915   0.04631    0.3558   0.03829
    42/299     2.96G   0.05238    0.1169   0.03721    0.2065       127       640    0.6248    0.3924    0.3446    0.1867   0.04074    0.3542   0.03765
    43/299     2.96G   0.05317    0.1081   0.03601    0.1973        86       640    0.6212    0.3642    0.3602    0.1835   0.04461    0.3627   0.03762
    44/299     2.96G   0.05271    0.1108   0.03488    0.1984       120       640    0.6291    0.4022    0.3648    0.2175   0.04163    0.3479   0.03751
    45/299     2.96G    0.0521    0.1069   0.03373    0.1928        79       640    0.5593    0.2885    0.2708   0.06752   0.06357    0.4007   0.03724
    46/299     2.96G   0.06004    0.1273   0.03447    0.2218        98       640    0.7117    0.3009    0.3248    0.1661   0.04637    0.3747   0.03783
    47/299     2.96G   0.05944    0.1257   0.03621    0.2213       113       640    0.5714    0.3495    0.3556    0.1438   0.05332    0.3819   0.03724
    48/299     2.96G   0.05845    0.1214   0.03604    0.2158       107       640    0.6106    0.3192    0.3154   0.09492   0.05812    0.3767   0.03697
    49/299     2.96G   0.06026    0.1129   0.03557    0.2087       114       640     0.724    0.3369    0.3762    0.1728   0.04822    0.3668   0.03706
    50/299     2.96G   0.06422      0.11    0.0325    0.2067        66       640    0.7148    0.3093    0.3605    0.2048   0.04845    0.3583   0.03667
